Date,Away Team,Away Pts,Home Team,Home Pts
Jun 9 (Sat 1:45pm),North Melbourne,59,Geelong,96
Jun 9 (Sat 4:35pm),Gold Coast,26,GWS Giants,134
Jun 9 (Sat 7:25pm),Sydney,126,St Kilda,55
Jun 10 (Sun 1:10pm),Essendon,84,Brisbane Lions,62
Jun 10 (Sun 4:40pm),Adelaide,68,Fremantle,71
Jun 11 (Mon 3:20pm),Collingwood,133,Melbourne,91
Jun 14 (Thu 7:50pm),Western Bulldogs,75,Port Adelaide,132
Jun 15 (Fri 7:50pm),West Coast,57,Sydney,72
Jun 16 (Sat 1:45pm),Fremantle,103,Carlton,46
Jun 16 (Sat 4:35pm),St Kilda,80,Gold Coast,78
Jun 16 (Sat 7:25pm),Adelaide,32,Hawthorn,88
Jun 17 (Sun 3:20pm),Richmond,83,Geelong,65
Jun 21 (Thu 8:10pm),Essendon,80,West Coast,52
Jun 22 (Fri 7:50pm),Melbourne,65,Port Adelaide,75
Jun 23 (Sat 1:45pm),Gold Coast,43,Hawthorn,96
Jun 23 (Sat 4:35pm),GWS Giants,109,Brisbane Lions,82
Jun 23 (Sat 7:25pm),North Melbourne,77,Western Bulldogs,75
Jun 24 (Sun 3:20pm),Carlton,59,Collingwood,79
Jun 28 (Thu 7:20pm),Sydney,67,Richmond,93
Jun 29 (Fri 7:50pm),Geelong,101,Western Bulldogs,103
Jun 30 (Sat 1:45pm),Port Adelaide,90,Carlton,69
Jun 30 (Sat 4:35pm),West Coast,78,Adelaide,88
Jun 30 (Sat 7:25pm),Collingwood,99,Gold Coast,60
Jun 30 (Sat 7:25pm),Hawthorn,84,GWS Giants,95
Jul 1 (Sun 1:10pm),St Kilda,119,Melbourne,117
Jul 1 (Sun 3:20pm),North Melbourne,108,Essendon,125
Jul 1 (Sun 4:40pm),Brisbane Lions,119,Fremantle,64
Jul 5 (Thu 7:20pm),Geelong,71,Sydney,59
Jul 6 (Fri 7:50pm),Adelaide,56,Richmond,103
Jul 7 (Sat 1:45pm),Carlton,55,Brisbane Lions,120
Jul 7 (Sat 4:35pm),St Kilda,50,Port Adelaide,86
Jul 7 (Sat 7:25pm),Hawthorn,122,Western Bulldogs,59
Jul 7 (Sat 7:40pm),Fremantle,48,Melbourne,102
Jul 8 (Sun 1:10pm),Gold Coast,58,North Melbourne,95
Jul 8 (Sun 3:20pm),Collingwood,78,Essendon,62
Jul 8 (Sun 4:40pm),GWS Giants,75,West Coast,86
Jul 12 (Thu 7:50pm),Geelong,97,Adelaide,112
Jul 13 (Fri 7:50pm),Carlton,52,St Kilda,116
Jul 14 (Sat 1:45pm),Brisbane Lions,98,Hawthorn,65
Jul 14 (Sat 4:35pm),Western Bulldogs,69,Melbourne,119
Jul 14 (Sat 7:25pm),Essendon,95,Gold Coast,51
Jul 14 (Sat 7:25pm),Richmond,77,GWS Giants,79
Jul 15 (Sun 1:10pm),West Coast,102,Collingwood,67
Jul 15 (Sun 3:20pm),Sydney,104,North Melbourne,98
Jul 15 (Sun 4:40pm),Port Adelaide,50,Fremantle,59
Jul 20 (Fri 7:50pm),Richmond,111,St Kilda,57
Jul 21 (Sat 1:45pm),North Melbourne,64,Collingwood,130
Jul 21 (Sat 2:10pm),Gold Coast,88,Sydney,64
Jul 21 (Sat 4:35pm),Fremantle,70,Essendon,99
Jul 21 (Sat 7:25pm),Adelaide,93,Brisbane Lions,88
Jul 21 (Sat 7:25pm),Melbourne,98,Geelong,100
Jul 22 (Sun 1:10pm),Hawthorn,124,Carlton,52
Jul 22 (Sun 3:20pm),Western Bulldogs,46,West Coast,100
Jul 22 (Sun 4:40pm),GWS Giants,80,Port Adelaide,58
Jul 27 (Fri 7:50pm),Sydney,66,Essendon,109
Jul 28 (Sat 1:45pm),Collingwood,77,Richmond,105
Jul 28 (Sat 2:10pm),Brisbane Lions,78,Geelong,120
Jul 28 (Sat 4:35pm),St Kilda,61,GWS Giants,86
Jul 28 (Sat 7:25pm),Carlton,79,Gold Coast,44
Jul 28 (Sat 7:40pm),Melbourne,90,Adelaide,77
Jul 29 (Sun 1:10pm),West Coast,41,North Melbourne,81
Jul 29 (Sun 3:20pm),Port Adelaide,78,Western Bulldogs,34
Jul 29 (Sun 4:40pm),Hawthorn,112,Fremantle,53
Aug 3 (Fri 7:50pm),Geelong,82,Richmond,85
Aug 4 (Sat 1:45pm),Essendon,103,Hawthorn,107
Aug 4 (Sat 2:10pm),North Melbourne,107,Brisbane Lions,104
Aug 4 (Sat 4:35pm),Port Adelaide,93,Adelaide,96
Aug 4 (Sat 7:25pm),Western Bulldogs,103,St Kilda,68
Aug 4 (Sat 7:25pm),Collingwood,71,Sydney,73
Aug 5 (Sun 1:10pm),GWS Giants,151,Carlton,46
Aug 5 (Sun 3:20pm),Gold Coast,47,Melbourne,143
Aug 5 (Sun 4:40pm),Fremantle,84,West Coast,142
Aug 10 (Fri 7:50pm),St Kilda,79,Essendon,122
Aug 11 (Sat 1:45pm),Geelong,60,Hawthorn,71
Aug 11 (Sat 2:10pm),Richmond,125,Gold Coast,51
Aug 11 (Sat 4:35pm),West Coast,62,Port Adelaide,58
Aug 11 (Sat 7:25pm),Brisbane Lions,73,Collingwood,104
Aug 11 (Sat 7:25pm),Adelaide,92,GWS Giants,106
Aug 12 (Sun 1:10pm),Western Bulldogs,92,North Melbourne,85
Aug 12 (Sun 3:20pm),Sydney,87,Melbourne,78
Aug 12 (Sun 4:40pm),Carlton,72,Fremantle,101
Aug 17 (Fri 7:50pm),Essendon,73,Richmond,81
Aug 18 (Sat 1:45pm),Port Adelaide,64,Collingwood,115
Aug 18 (Sat 2:10pm),Fremantle,25,Geelong,158
Aug 18 (Sat 4:35pm),Sydney,80,GWS Giants,60
Aug 18 (Sat 7:25pm),Brisbane Lions,78,Gold Coast,74
Aug 18 (Sat 7:25pm),Hawthorn,80,St Kilda,76
Aug 19 (Sun 1:10pm),Western Bulldogs,66,Carlton,49
Aug 19 (Sun 3:20pm),Melbourne,108,West Coast,91
Aug 19 (Sun 4:40pm),North Melbourne,77,Adelaide,86
Aug 24 (Fri 7:50pm),Essendon,111,Port Adelaide,89
Aug 25 (Sat 1:45pm),Gold Coast,40,Geelong,142
Aug 25 (Sat 2:10pm),Western Bulldogs,95,Richmond,98
Aug 25 (Sat 4:35pm),Collingwood,76,Fremantle,67
Aug 25 (Sat 7:25pm),Hawthorn,83,Sydney,74
Aug 25 (Sat 7:25pm),Adelaide,165,Carlton,61
Aug 26 (Sun 1:10pm),West Coast,98,Brisbane Lions,72
Aug 26 (Sun 3:20pm),GWS Giants,57,Melbourne,102
Aug 26 (Sun 4:40pm),North Melbourne,117,St Kilda,94
